symbol
AAPL
ABBV
ADBE
AMZN
AVGO
COST
CRM
DIA
GOOGL
HD
IWM
JNJ
JPM
MA
META
MSFT
NFLX
NVDA
ORCL
PG
QQQ
SPY
TSLA
UNH
V
WMT
XLB
XLC
XLE
XLF
XLI
XLK
XLP
XLRE
XLU
XLV
XLY
XOM
